﻿"№ ГОЛОСА";"ИЗБИР. ОКРУГ";"АДРЕС ГОЛОСА В БЛОКЧЕЙНЕ";"БЛОК ГОЛОСА";"ВРЕМЯ ЗАПИСИ БЛОКА ГОЛОСА";"ЗАШИФРОВАННЫЙ ГОЛОС"
"86";77;"0x71da7fa0f8150d930ba2fc55fa2c5e988633ed377063a7407f116ef07b919a08";"#16501";"07:06:59";"{""message"":""0f34b34864722c6550916f7e7a848cf55fe2b56f"",""nonce"":""d0929c36892bb0c3e236c9faea75f0ae1294d5201e313e6d"",""public_key"":""ec73edf0b9eae86f3ceb3af7db6019db3255c28faa69ef8fb6af8496285b0e60""}"
"87";77;"0x7c0ad38f074fd3157cd0652e00e89d7fef930a8ed46a006354e9824d682783a9";"#16501";"07:06:59";"{""message"":""b894cae6fc57f6544ba670a8699a8e92d4d3a50e"",""nonce"":""b99da55c688eb97b2f879594837b5907fb5d68a8b28f1635"",""public_key"":""8c0da0ccf7d094f0b29e2631e2cff1308e1938217e3abf538a4bc854d8122340""}"
"88";77;"0x0ec429f91bbff7107f12eb1a4bfc2b81096047eb18fd74e531a431c71580ddee";"#16501";"07:06:59";"{""message"":""e145467490c4bee82173bc48b415cd0ba991559d"",""nonce"":""77332c00959250467174ab14d73f8c64a05ebb6dc91b3cc4"",""public_key"":""8bba4c66abf4aa74ae314ed4f67f6566a31b162bb6f685b7d29235013960de05""}"
"89";77;"0x837673c0ec04b715508f7f6cb0d7e847afa589b31c3c068a17558d16be2ebd3f";"#16501";"07:06:59";"{""message"":""b92adca5d0bc7509fa6377d045cc5c072119b161"",""nonce"":""1cf342fff7cf27d7198d3ed099e949003f7a7f490292d314"",""public_key"":""5808367ad8fcce2a10045ef9fdfdf487faac094523a7e1d753b6ee5aa5ac9e5a""}"
"90";77;"0x4c7fa54337bbe497ebb44b2307dc940ca73b46eb10628fb4370db5c4c8db3468";"#16501";"07:06:59";"{""message"":""0a417feac78506ff49498c58d3e97432f9d29df5"",""nonce"":""894843d2534525ca1cf80941a4f43b00395b2f930471f833"",""public_key"":""8236c212883f36e47766a0403dd72aa21b99ca4d2cd909c69f22161f198b572b""}"
"91";77;"0x95a648b7d9628cc785fb35c75987c953fbc3272ce914b56803015cc38ec99223";"#16501";"07:06:59";"{""message"":""0053e60180f37f83724c44a2d8370de9240c76d6"",""nonce"":""4f4e8bd877ed146b4a6573d3ae3545c8ae6a6bfdc149da26"",""public_key"":""17c653381e2bf8fbfacdb44e19395d1b57603a574f2e8928085f04a8796dec0b""}"
"92";77;"0x633fb939cc64bd451ec095ecc6fa795c928b99497cf0ae5c2253fe34f3cdfbc4";"#16501";"07:06:59";"{""message"":""b807bc894e9c2c332aad31e8e0044affc1322bcb"",""nonce"":""744b035eb5d426cbfb61fa49ba89361dc6364b26c492963f"",""public_key"":""190fe93b63c0282abff17898759005cb4504f21b2a9b14895b46c0dd7277c703""}"
"93";77;"0xd470e4f1a27bb6577b22ddd6166fe379c61dc4bdc62797c763568c3d5ea1864d";"#16501";"07:06:59";"{""message"":""4f9c5f7fb253c849979b2925dc420757cc8f3dfa"",""nonce"":""b8840ca0f4bab58828a90894f05a40a31112d667961f03b7"",""public_key"":""c3507931b1bcb755858ecde684e2c762feed1cb0777399dc47dcedb1283a3b3f""}"
"94";77;"0x24c0cf73cb7d590e1002687b28e3546d6a88bf6a7d91c09b858b4aa134e0d7d6";"#16501";"07:06:59";"{""message"":""ff3057ee9dc4e4d048762c112b552430ff209f34"",""nonce"":""4b61fbebe10305b08211ff5963957ffd5049f6e84bf21daa"",""public_key"":""a4605030ac865d8e700048bcafa785537005323bfea8eb8f1ce9600021f4d156""}"
"95";77;"0x43b50ba0fbedaf2b3f69e0744be75924f72248f14030cd5a46fb257a352e3f30";"#16501";"07:06:59";"{""message"":""1bd364bb43e51124d81f7859955311a356536d95"",""nonce"":""64492fab6171f63bb4285fd9752719a9dc01d1d488756410"",""public_key"":""08acaa51c0d036b07913ee4eef44ed06e84d871c0c405b1f945216e93127c46f""}"
